time	V(n002)	V(n011)
8.529940112162715e-04	3.754062e+00	2.727160e-02
8.627596362162716e-04	3.744460e+00	2.254709e-02
8.725252612162716e-04	3.734816e+00	1.780132e-02
8.822908862162716e-04	3.725138e+00	1.303830e-02
8.920565112162716e-04	3.715432e+00	8.260722e-03
9.018221362162716e-04	3.705705e+00	3.472625e-03
9.115877612162716e-04	3.695964e+00	-1.323246e-03
9.213533862162716e-04	3.686216e+00	-6.122829e-03
9.311190112162716e-04	3.676468e+00	-1.092330e-02
9.408846362162715e-04	3.666727e+00	-1.572056e-02
9.506502612162715e-04	3.657000e+00	-2.051170e-02
9.604158862162715e-04	3.647295e+00	-2.529256e-02
9.701815112162715e-04	3.637619e+00	-3.006012e-02
9.799471362162717e-04	3.627978e+00	-3.481014e-02
9.897127612162717e-04	3.618382e+00	-3.953950e-02
9.994783862162715e-04	3.608837e+00	-4.424385e-02
1.009244011216271e-03	3.599351e+00	-4.891995e-02
1.019009636216271e-03	3.589932e+00	-5.356335e-02
1.028775261216271e-03	3.580588e+00	-5.817067e-02
1.038540886216271e-03	3.571327e+00	-6.273738e-02
1.048306511216272e-03	3.562158e+00	-6.725998e-02
1.058072136216272e-03	3.553088e+00	-7.173388e-02
1.067837761216272e-03	3.544126e+00	-7.615551e-02
1.077603386216272e-03	3.535280e+00	-8.052028e-02
1.087369011216272e-03	3.526559e+00	-8.482462e-02
1.097134636216272e-03	3.517970e+00	-8.906406e-02
1.106900261216272e-03	3.509521e+00	-9.323514e-02
1.116665886216272e-03	3.501221e+00	-9.733361e-02
1.126431511216272e-03	3.493076e+00	-1.013563e-01
1.136197136216272e-03	3.485094e+00	-1.052993e-01
1.145962761216272e-03	3.477280e+00	-1.091600e-01
1.155728386216272e-03	3.469641e+00	-1.129350e-01
1.165494011216272e-03	3.462183e+00	-1.166222e-01
1.175259636216272e-03	3.454908e+00	-1.202189e-01
1.185025261216272e-03	3.447821e+00	-1.237237e-01
1.194790886216272e-03	3.440926e+00	-1.271347e-01
1.204556511216272e-03	3.434224e+00	-1.304513e-01
1.214322136216272e-03	3.427716e+00	-1.336723e-01
1.224087761216272e-03	3.421404e+00	-1.367977e-01
1.233853386216272e-03	3.415287e+00	-1.398273e-01
1.243619011216272e-03	3.409365e+00	-1.427614e-01
1.253384636216271e-03	3.403636e+00	-1.456005e-01
1.263150261216271e-03	3.398100e+00	-1.483454e-01
1.272915886216271e-03	3.392754e+00	-1.509969e-01
1.282681511216271e-03	3.387596e+00	-1.535563e-01
1.292447136216272e-03	3.382624e+00	-1.560244e-01
1.302212761216272e-03	3.377835e+00	-1.584028e-01
1.311978386216272e-03	3.373226e+00	-1.606923e-01
1.321744011216272e-03	3.368796e+00	-1.628945e-01
1.331509636216272e-03	3.364542e+00	-1.650102e-01
1.341275261216272e-03	3.360461e+00	-1.670409e-01
1.351040886216272e-03	3.356552e+00	-1.689873e-01
1.360806511216272e-03	3.352812e+00	-1.708505e-01
1.370572136216272e-03	3.349240e+00	-1.726312e-01
1.380337761216272e-03	3.345834e+00	-1.743302e-01
1.390103386216272e-03	3.342594e+00	-1.759479e-01
1.399869011216272e-03	3.339518e+00	-1.774848e-01
1.409634636216272e-03	3.336607e+00	-1.789411e-01
1.419400261216272e-03	3.333859e+00	-1.803169e-01
1.429165886216272e-03	3.331275e+00	-1.816121e-01
1.438931511216272e-03	3.328855e+00	-1.828266e-01
1.448697136216272e-03	3.326600e+00	-1.839598e-01
